Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
246.813	-2.31889142500891	365	122.519899118523	365	125.043727461678
247.37	5.05939947274672	365.5	124.350428020235	365.5	124.350428020235
247.927	9.69718232276455	366	119.835117014531	366	123.657128578793
248.484	3.1621246704667	366.5	117.159364854509	366.5	122.963829137351
249.041	-2.31889142500891	367	122.111802050529	367	122.270529695908
249.599	12.4376903705024	367.5	130.481321795843	367.5	121.577230254466
250.156	2.69238164570098	368	132.271857224022	368	120.883930813023
250.713	4.07909226073063	368.5	126.585058526569	368.5	120.190631371581
251.27	4.01566335229725	369	124.555739581316	369	119.497331930138
251.828	5.37354219377034	369.5	119.082174240499	369.5	118.804032488696
252.385	6.28186275083476	370	117.504583360959	370	118.110733047254
252.943	1.62686147333089	370.5	134.231118939964	370.5	117.417433605811
253.501	6.02117427850887	371	138.646595472852	371	116.724134164369
254.058	-8.08128654703096	371.5	129.684533780946	371.5	116.030834722926
254.616	-1.39150619747316	372	130.907069951012	372	115.337535281484
255.174	-3.03322271053679	372.5	134.313335889644	372.5	114.644235840041
255.732	-1.64904536430026	373	127.529949651673	373	113.950936398599
256.29	-8.76041213206645	373.5	126.447617572074	373.5	113.257636957157
256.847	6.87227673062628	374	132.625244187248	374	112.564337515714
257.406	-0.237552261912764	374.5	123.637814192109	374.5	111.871038074272
257.964	10.2454960557428	375	116.326956680467	375	111.177738632829
258.522	-4.07365485552214	375.5	114.5191097199	375.5	110.484439191387
259.08	-0.481879811450311	376	108.758062310468	376	109.791139749945
259.638	5.55935688543537	376.5	108.615806400996	376.5	109.097840308502
260.196	0.728270457681921	377	113.017644731962	377	108.40454086706
260.755	-6.10780069505437	377.5	98.0400677669728	377.5	107.711241425617
261.313	-9.09432999413817	378	89.8783248237875	378	107.017941984175
261.872	12.6082081015777	378.5	102.741689932234	378.5	106.324642542732
262.43	-3.48517461662173	379	99.5065873633321	379	105.63134310129
262.989	5.51658589026831	379.5	92.8982863937377	379.5	104.938043659848
263.548	5.55960456146816	380	90.2313774990392	380	104.244744218405
264.106	-10.4265906397764	380.5	84.0813695102646	380.5	103.551444776963
264.665	19.0787157664992	381	89.2794258917588	381	102.85814533552
265.224	1.27429295373296	381.5	84.6435666749482	381.5	102.164845894078
265.783	5.11864815692391	382	85.3999950791114	382	101.471546452635
266.342	2.05888304971282	382.5	79.1833109749885	382.5	100.778247011193
266.901	-1.55407840661877	383	82.7113158301361	383	100.084947569751
267.46	-18.2025825430638	383.5	90.0519124674837	383.5	99.3916481283081
268.019	14.8712559380906	384	83.8701849486084	384	98.6983486868657
268.578	11.4848069002788	384.5	82.2011517147119	384.5	98.0050492454233
269.137	-2.35183960063234	385	94.9034275225557	385	97.3117498039809
269.697	-3.14595211216099	385.5	93.8816305598233	385.5	96.6184503625384
270.256	1.83902269146793	386	115.272644471393	386	95.925150921096
270.815	13.14640944012	386.5	131.869235343998	386.5	95.2318514796536
271.375	11.2995991098238	387	159.755821540281	387	94.5385520382112
271.934	19.4219362049553	387.5	192.618346418451	387.5	93.8452525967687
272.494	18.0376083079127	388	228.683525793009	388	93.1519531553263
273.054	13.8055588847587	388.5	276.476758424727	388.5	92.4586537138839
273.613	8.10637878899469	389	332.406249753138	389	91.7653542724415
274.173	8.90756486790308	389.5	406.106518857877	389.5	91.072054830999
274.733	-2.09043921635568	390	485.69316633323	390	90.3787553895566
275.293	19.3284447871901	390.5	575.123283043588	390.5	89.6854559481142
275.853	5.49375297710251	391	683.732047088063	391	88.9921565066718
276.413	10.9940905572165	391.5	788.641921960315	391.5	88.2988570652293
276.973	8.37855886780578	392	891.578059913812	392	87.6055576237869
277.533	12.7932546647404	392.5	1014.07114935172	392.5	86.9122581823445
278.093	15.8799341276071	393	1147.58038268469	393	86.2189587409021
278.653	9.60844308081504	393.5	1273.24831520861	393.5	85.5256592994596
279.213	23.8282044291661	394	1390.11279258249	394	84.8323598580172
279.774	14.7196812651611	394.5	1506.95930778185	394.5	84.1390604165748
280.334	4.37775764555691	395	1606.05858701656	395	83.4457609751324
280.895	6.67714788602352	395.5	1696.08529004285	395.5	82.7524615336899
281.455	11.4953934908297	396	1769.46251326122	396	82.0591620922475
282.016	19.3020858693146	396.5	1826.86131674742	396.5	81.3658626508051
282.576	21.8223788284121	397	1877.21747313072	397	80.6725632093627
283.137	21.7692654586352	397.5	1883.40520470726	397.5	79.9792637679202
283.698	22.1146979746258	398	1862.64507434497	398	79.2859643264778
284.258	9.24412817333043	398.5	1829.24117197497	398.5	78.5926648850354
284.819	-2.98561694135486	399	1773.31799529732	399	77.899365443593
285.38	7.68313767641945	399.5	1733.33059829455	399.5	77.2060660021505
285.941	8.14848445083668	400	1664.83762264408	400	76.5127665607081
286.502	10.0515255111618	400.5	1551.72740531848	400.5	75.8194671192657
287.063	16.0620428010322	401	1453.46458738846	401	75.1261676778232
287.624	16.4638513323544	401.5	1333.7570053251	401.5	74.4328682363808
288.185	19.9929707796214	402	1217.55669387229	402	73.7395687949384
288.747	6.23132062727659	402.5	1095.24514334329	402.5	73.046269353496
289.308	19.580948889429	403	967.57276267062	403	72.3529699120536
289.869	21.9138963565014	403.5	853.223409903918	403.5	71.6596704706111
290.431	20.8096664340739	404	740.430001200858	404	70.9663710291687
290.992	24.8479844501042	404.5	627.951633004141	404.5	70.2730715877263
291.554	25.8827188645575	405	534.808824941848	405	69.5797721462839
292.115	12.7643440933156	405.5	446.571996421302	405.5	68.8864727048415
292.677	16.8967432297157	406	376.564849961208	406	68.193173263399
293.238	28.37336005103	406.5	301.384669645052	406.5	67.4998738219566
293.8	9.18648940977833	407	248.197065435886	407	66.8065743805142
294.362	17.7941215387014	407.5	202.92652105422	407.5	66.1132749390717
294.924	10.1840249395146	408	162.298323277761	408	65.4199754976293
295.486	17.823155269574	408.5	132.111709987401	408.5	64.7266760561869
296.048	16.6551537250284	409	100.28617321208	409	64.0333766147445
296.61	24.010555822525	409.5	85.2079344177737	409.5	63.340077173302
297.172	27.0609603661939	410	76.4176061379556	410	62.6467777318596
297.734	19.1527253101279	410.5	66.1885977341863	410.5	61.9534782904172
298.296	8.43199884389528	411	59.5257895593713	411	61.2601788489748
298.858	23.2257106878847	411.5	55.9916859799988	411.5	60.5668794075323
299.42	23.6073802703943	412	45.9011017978606	412	59.8735799660899
299.983	23.5512563845128	412.5	38.2832046716901	412.5	59.1802805246475
300.545	25.4253265357673	413	43.5598768154841	413	58.4869810832051
301.108	22.9301474127814	413.5	37.5773808807745	413.5	57.7936816417626
301.67	34.248845020307	414	30.0035176396392	414	57.1003822003202
302.233	17.1893553348188	414.5	24.1381347764569	414.5	56.4070827588778
302.795	24.4729241623662	415	21.776577750149	415	55.7137833174354
303.358	30.8816973478836	415.5	18.3591566462216	415.5	55.0204838759929
303.921	19.1851709653405	416	20.1429343541902	416	54.3271844345505
304.484	18.7552438203083	416.5	24.1998574835896	416.5	53.6338849931081
305.046	40.3185784312038	417	15.6022384977578	417	52.9405855516657
305.609	33.1214971917301	417.5	13.5152882485478	417.5	52.2472861102232
306.172	26.1858196374996	418	21.8456613806366	418	51.5539866687808
306.735	38.1666055269651	418.5	16.1887638124197	418.5	50.8606872273384
307.298	55.8692411557278	419	12.9163381101051	419	50.167387785896
307.861	48.2671319359659	419.5	11.4482694587847	419.5	49.4740883444535
308.425	53.6306788242455	420	6.61126646151591	420	48.7807889030111
308.988	51.7241650199604	420.5	7.30925642795677	420.5	48.0874894615687
309.551	66.377619403414	421	14.2223023520551	421	47.3941900201263
310.114	77.6075707442143	421.5	21.4746009179352	421.5	46.7008905786838
310.678	76.7736444194929	422	6.76870948825681	422	46.0075911372414
311.241	82.6752160419121	422.5	9.07231032594608	422.5	45.314291695799
311.805	105.124997183604	423	10.3504037006964	423	44.6209922543566
312.368	107.723862500619	423.5	14.5381011498478	423.5	43.9276928129141
312.932	117.773116908855	424	18.7693517554343	424	43.2343933714717
313.496	121.898341716519	424.5	6.60493796564066	424.5	42.5410939300293
314.059	132.455537200397	425	4.33855556445042	425	41.8477944885869
314.623	142.045511979437	425.5	5.37450744649888	425.5	41.1544950471444
315.187	161.784655180478	426	6.8294135960746	426	40.461195605702
315.751	162.901621134424	426.5	7.03725079275982	426.5	39.7678961642596
316.315	183.214391282396	427	6.66935309404037	427	39.0745967228172
316.879	199.824106739346	427.5	5.22147568885596	427.5	38.3812972813747
317.443	210.472264875058	428	6.03252833633779	428	37.6879978399323
318.007	216.222061543888	428.5	8.21191727626603	428.5	36.9946983984899
318.571	232.630917002819	429	3.13263457729013	429	36.3013989570475
319.135	265.16495511005	429.5	2.87609557247934	429.5	35.608099515605
319.7	272.257313674596	430	7.79688706552375	430	34.9148000741626
320.264	280.973854429146	430.5	13.9544231953089	430.5	34.2215006327202
320.828	280.071363950783	431	5.94761303966765	431	33.5282011912778
321.393	297.125747207008	431.5	1.03635786516914	431.5	32.8349017498353
321.957	282.958090849956	432	13.2590948129353	432	32.1416023083929
322.522	305.143171219234	432.5	19.9355846937871	432.5	31.4483028669505
323.086	313.301082465547	433	20.6120696970744	433	30.7550034255081
323.651	316.106490716497	433.5	27.2620844579616	433.5	30.0617039840656
324.216	310.040543178287	434	22.3962844659978	434	29.3684045426232
324.78	313.121728035894	434.5	24.6480973368334	434.5	28.6751051011808
325.345	324.648233385897	435	23.7433713081279	435	27.9818056597384
325.91	311.898634961477	435.5	17.5581062156585	435.5	27.288506218296
326.475	308.598977317699	436	19.7025305874391	436	26.5952067768535
327.04	316.449370502055	436.5	18.0294060971281	436.5	25.9019073354111
327.605	312.737347704749	437	12.0101367811087	437	25.2086078939687
328.17	317.268923376897	437.5	12.6348110440074	437.5	24.5153084525263
328.735	321.187292449674	438	5.57719000797061	438	23.8220090110838
329.3	315.981846200709	438.5	2.34997300429335	438.5	23.1287095696414
329.866	310.055732114786	439	2.57664277585303	439	22.435410128199
330.431	315.797045633857	439.5	3.50000108620346	439.5	21.7421106867565
330.996	307.951073877517	440	3.70446660969336	440	21.0488112453141
331.562	317.612868629657	440.5	-3.68086084149872	440.5	20.3555118038717
332.127	321.470419379029	441	7.31027890692781	441	19.6622123624293
332.693	327.396023352486	441.5	11.2139667967484	441.5	18.9689129209869
333.258	323.19055782003	442	0.738551506223899	442	18.2756134795444
333.824	320.239973673845	442.5	0.772970471841293	442.5	17.582314038102
334.389	333.237601937798	443	8.53171541252501	443	16.8890145966596
334.955	331.992373441967	443.5	8.98144508222121	443.5	16.1957151552172
335.521	329.171385542182	444	7.39484966845487	444	15.5024157137747
336.087	350.271433047329	444.5	3.78212688775903	444.5	14.8091162723323
336.653	343.769284587476	445	-0.64612378389316	445	14.1158168308899
337.218	343.90415392045	445.5	4.05619792898672	445.5	13.4225173894475
337.784	338.460044391926	446	7.33715013687801	446	12.729217948005
338.35	337.505534423768	446.5	2.34186445160859	446.5	12.0359185065626
338.917	343.00101713909	447	5.25041168374186	447	11.3426190651202
339.483	342.01996005701	447.5	13.4000119693799	447.5	10.6493196236777
340.049	362.280154031007	448	6.61256696946325	448	9.95602018223533
340.615	366.621798996078	448.5	5.62292509229382	448.5	9.26272074079291
341.181	412.857831655959	449	3.46606921149258	449	8.56942129935047
341.748	452.10622784953	449.5	8.44927203608407	449.5	7.87612185790806
342.314	548.608418482879	450	7.18282241646563	450	7.18282241646564
342.881	750.072149579752				
343.447	1112.4253462033				
344.014	1688.32505531169				
344.58	2500.17544956374				
345.147	3550.20615935076				
345.714	4832.22660691527				
346.28	6335.56309543377				
346.847	8047.27959013048				
347.414	9894.51146034493				
347.981	11764.7501090234				
348.548	13126.7804599979				
349.115	13127.261941732				
349.682	13151.4972845893				
350.249	13137.5539588874				
350.816	13216.384341927				
351.384	13222.7122708029				
351.951	13213.2394520235				
352.518	13249.9654323935				
353.086	12764.6423711213				
353.653	10849.4784112818				
354.221	8955.5107627952				
354.788	7103.89226216311				
355.356	5440.41250128107				
355.923	4025.93588146509				
356.491	2857.83886674958				
357.059	1914.94695394115				
357.627	1202.17005798936				
358.195	709.347342436742				
358.762	407.663278572338				
359.33	271.417477497571				
359.898	223.061786942545				
360.466	185.282114475977				
361.035	178.09706113768				
361.603	169.188556780864				
362.171	163.484674277976				
362.739	159.312808051961				
363.308	131.600744638229				
363.876	135.393922677265				
364.444	125.780362704761				
365.013	122.564652087523				
365.581	124.139868113695				
366.15	118.239440713575				
366.719	118.464049905757				
367.287	127.000786966557				
367.856	133.124034164691				
368.425	127.167634422168				
368.994	124.595613015452				
369.562	118.36868631304				
370.131	120.119335321655				
370.7	139.855938291576				
371.269	133.046343044524				
371.838	129.238606739715				
372.408	134.658969377921				
372.977	127.818266516255				
373.546	126.915924851566				
374.115	132.380062226574				
374.685	119.10515680634				
375.254	115.967938254652				
375.823	110.976628341669				
376.393	107.343694367625				
376.963	113.395306676644				
377.532	96.9908728543097				
378.102	91.1318486038216				
378.671	105.368089637622				
379.241	93.7015980727834				
379.811	93.1872159227232				
380.381	83.8177305344346				
380.951	89.2368246208901				
381.521	84.5358502562173				
382.091	85.0069737588333				
382.661	78.1568980599571				
383.231	87.3674328412519				
383.801	88.0185407798262				
384.371	79.7984232152419				
384.941	94.4668874468741				
385.512	94.0976583555206				
386.082	118.934740800997				
386.652	137.846258385564				
387.223	175.515158465182				
387.793	211.736178507563				
388.364	263.167429320634				
388.934	323.902387863735				
389.505	406.884673085301				
390.076	498.38815021282				
390.646	604.895107094365				
391.217	731.59901540718				
391.788	845.872725300606				
392.359	977.544775398236				
392.93	1129.11575569634				
393.501	1273.48817435688				
394.072	1406.98157568167				
394.643	1537.85971215927				
395.214	1644.43888004087				
395.785	1742.05395885615				
396.356	1809.39592733699				
396.928	1872.53592833546				
397.499	1883.42748043806				
398.07	1858.71979178809				
