Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
450	3.25800699544519	0.00287446358390453	5.31996998688047	1.23431682093461E-7	1.0119651556015	3.25513253186128	5.38362413066025	0.604635920498795	0.00545644636624772	98.7514664625312
448	2.95610526162549		4.85028955418691		1.00756251811981	2.95323079804158	4.88696983246164	0.604307147227466	0.00562620076067829	98.7128746307052
446	2.68915352929374		4.43280984231341		1.00348556041718	2.68627906570983	4.44826054497473	0.603894272502667	0.00579483116274537	98.6745532585755
444	2.52320422819902		4.17460622192587		1.00001692771912	2.52032976461512	4.17467676505364	0.6037185407294	0.00597281650071231	98.6341221084679
442	2.48595649560046		4.11983603171503		0.997353196144104	2.48308203201656	4.10893151071565	0.60431331735293	0.00615069789573684	98.5937311218888
440	2.49182964010824		4.13088688779067		0.99558562040329	2.48895517652434	4.11265146211008	0.605194775063027	0.00635161569889409	98.5481292199142
438	2.52430835905399		4.18083965614575		0.994712889194489	2.52143389547008	4.15873497084455	0.606298288577412	0.00653705681752427	98.5060587469807
436	2.56197200310922		4.23554628678653		0.994661867618561	2.55909753952531	4.21293625722716	0.607437991765307	0.00671139788095621	98.4665228901839
434	2.62463089608801		4.32862531799012		0.995339572429657	2.62175643250411	4.30845195036004	0.608514720069007	0.00691980272651464	98.4192831059894
432	2.71022535863662		4.45766261890681		0.996668756008148	2.70735089505272	4.44281293406937	0.609377647726647	0.00711344748879744	98.3754093493616
430	2.8180168393257		4.62199342391424		0.99854189157486	2.81514237574179	4.61525393311018	0.609964785587581	0.0073395327088357	98.3242103615175
428	2.91322267716142		4.76793964566179		1.00089848041534	2.91034821357752	4.77222342251238	0.609851625941967	0.00758984107919097	98.2675569091032
426	2.9712288341562		4.85774117525088		1.00344467163086	2.9683543705723	4.87447437461046	0.608958862525461	0.00785452984411727	98.2076841851094
424	2.97931911244419		4.87454926600403		1.00566327571869	2.97644464886028	4.90215505837104	0.60717064503654	0.0081208122702465	98.1474877836864
422	3.11219991269447		5.10987260327987		1.00706160068512	3.10932544911057	5.14595635885276	0.604226937090419	0.00841105115412674	98.0819177570086
420	3.01195313249608		4.96744310352347		1.00703954696655	3.00907866891217	5.00241152825382	0.601525614579444	0.00866304976463652	98.0250224047709
418	2.86400975255338		4.75152835178206		1.00569581985474	2.86113528896947	4.77859207717376	0.598740223639608	0.00896492108170501	97.9569104159413
416	2.70460321998721		4.51891895818027		1.00317752361298	2.70172875640331	4.53327780605112	0.595976878539624	0.00930600954823835	97.8800067099274
414	2.5802517767992		4.34055386937475		1	2.57737731321529	4.34055374594307	0.593789977977869	0.00963269818798571	97.8064062755164
412	2.48989012514204		4.21447243758688		0.996665716171265	2.48701566155813	4.20042006727146	0.592087367865011	0.00998002022578153	97.7282179915636
410	2.41169475110553		4.10466111152827		0.993634045124054	2.40882028752163	4.07853090146531	0.590609792034725	0.0103567239636406	97.6434860301534
408	2.34898542843944		4.01597975934356		0.991304457187653	2.34611096485553	3.98105851305429	0.589318382827682	0.0107220986891374	97.5613724869685
406	2.30670564345213		3.95677810430668		0.989896655082703	2.30383117986823	3.91680128817305	0.588191999125598	0.0110764672879203	97.4817984027749
404	2.29145262919016		3.94021079805778		0.989499270915985	2.28857816560626	3.8988355897979	0.586990169986851	0.0114790050754769	97.3914865767648
402	2.31586632375407		3.9883171048317		0.990296423435211	2.31299186017016	3.94961604220636	0.585624484874754	0.0119778738209188	97.2796783991187
400	2.37084877307864		4.0843215624559		0.992328882217407	2.36797430949473	4.05299012820349	0.58425365830939	0.0124396177833697	97.1763051447405
398	2.43164481450238		4.18477326778368		0.995916664600372	2.42877035091847	4.16768531203225	0.582762413444827	0.0127736888085626	97.1015832534275
396	2.46501564281955		4.23571762793168		1.00104904174805	2.46214117923565	4.24016094899515	0.580671632245266	0.0132062121845269	97.0049258019144
394	2.4796611375527		4.25208751393398		1.00751101970673	2.4767866739688	4.28402490268708	0.578144789124656	0.0136785937012629	96.8994710380765
392	2.4864293569267		4.25292287200355		1.01508748531342	2.48355489334279	4.31708865808004	0.575284662893005	0.0141890002446353	96.7856563925593
390	2.50170391904014		4.26797222415696		1.02326428890228	2.49882945545624	4.36726343670343	0.572172824395142	0.0146937104452376	96.6732434179406
