wavelength	S-Sdark	Sdark	I	Idark	Wavelength	R	Rdark	Mcorrect	XCorrect	Sc	Ic	Rc	Sc/Rc
nm	counts	counts			nm	uA	uA			counts*Mcorrect		uA*Xcorrect	counts/uA
	Raw CCD Data	Dark Offset CCD				Linear interp of B	Dark Offset Ref	interpolated	Linear interp of B	Dark Corrected CCD		Dark Corrected Ref	Fully Corrected Emission Spectrum
317.443	1018	2376						0.98075237172842		998.405914419532			210.472264875058
318.007	1047	2721						0.979637931525707		1025.68091430742			216.222061543888
318.571	1130	2317						0.976565235078335		1103.51871563852			232.630917002819
319.135	1291	2411						0.974321204423904		1257.84867491126			265.16495511005
319.7	1325	2677						0.974711179733276		1291.49231314659			272.257313674596
320.264	1364	2420						0.977155789375305		1332.84049670792			280.973854429146
320.828	1353	2763						0.981935995101929		1328.55940137291			280.071363950783
321.393	1432	2431						0.984259328246117		1409.45935804844			297.125747207008
321.957	1362	2906						0.985501477122307		1342.25301184058			282.958090849956
322.522	1467	2710						0.986701553702354		1447.49117928135			305.143171219234
323.086	1504	2445						0.988157860517502		1486.18942221832			313.301082465547
323.651	1513	2467						0.99107553589344		1499.49728580678			316.106490716497
324.216	1481	2498						0.993060484886169		1470.72257811642			310.040543178287
324.78	1495	2657						0.99353754401207		1485.33862829804			313.121728035894
325.345	1549	2705						0.994200315773487		1540.01628913313			324.648233385897
325.91	1487	2651						0.994980973601341		1479.53670774519			311.898634961477
326.475	1470	2419						0.995839659869671		1463.88430000842			308.598977317699
327.04	1506	2848						0.996762142181397		1501.12378612518			316.449370502055
327.605	1486	2331						0.998327903151512		1483.51526408315			312.737347704749
328.17	1506	2594						0.999343595504761		1505.01145483017			317.268923376897
328.735	1525	2303						0.99908118724823		1523.59881055355			321.187292449674
329.3	1500	2522						0.999270677566528		1498.90601634979			315.981846200709
329.866	1471	2353						0.99986038684845		1470.79462905407			310.055732114786
330.431	1499	2499						0.999352493584156		1498.02938788265			315.797045633857
330.996	1463	2565						0.998503674268723		1460.81087545514			307.951073877517
331.562	1507	2522						0.999763111710548		1506.6430093478			317.612868629657
332.127	1524	2649						1.00061802130938		1524.94186447549			321.470419379029
332.693	1553	2687						1.00003273147345		1553.05083197826			327.396023352486
333.258	1534	2358						0.999414336562157		1533.10159228635			323.19055782003
333.824	1521	2283						0.998754152297974		1519.10506564522			320.239973673845
334.389	1583	2492						0.998585731387138		1580.76121278584			333.237601937798
334.955	1577	2642						0.998639371991157		1574.85428963006			331.992373441967
335.521	1565	2611						0.997746020257473		1561.47252170295			329.171385542182
336.087	1667	2341						0.996738858640194		1661.5636773532			350.271433047329
336.653	1638	2347						0.995555425465107		1630.71978691185			343.769284587476
337.218	1641	2593						0.994125264644623		1631.35955928183			343.90415392045
337.784	1618	2521						0.992295816421509		1605.53463097			338.460044391926
338.35	1615	2454						0.991335463523865		1601.00677359104			337.505534423768
338.917	1642	2387						0.990910717487335		1627.0753981142			343.00101713909
339.483	1639	2639						0.98988505834341		1622.42161062485			342.01996005701
340.049	1738	2286						0.988796777009964		1718.52879844332			362.280154031007
340.615	1760	2543						0.988138650655746		1739.12402515411			366.621798996078
341.181	1983	2420						0.987620471954346		1958.45139588547			412.857831655959
341.748	2172	2426						0.987399582386017		2144.63189294243			452.10622784953
342.314	2638	2406						0.986506490588188		2602.40412217164			548.608418482879
342.881	3612	2544						0.98507108014822		3558.07674149537			750.072149579752
343.447	5364	2419						0.983771817326546		5276.95202813959			1112.4253462033
344.014	8151	2456						0.982556296348572		8008.81637153721			1688.32505531169
344.58	12061	2416						0.983330340385437		11859.9472353888			2500.17544956374
345.147	17115	2449						0.983986047148705		16840.9211969501			3550.20615935076
345.714	23288	2101						0.984299740076065		22922.3723468914			4832.22660691527
346.28	30513	2398						0.984946365356445		30053.6684461212			6335.56309543377
346.847	38718	2229						0.985935366630554		38173.4455252018			8047.27959013048
347.414	47606	2336						0.985927395105362		46936.0595713859			9894.51146034493
347.981	56626	2538						0.985550977110863		55807.8096298797			11764.7501090234
348.548	63057	2478						0.987500189304352		62268.7994369645			13126.7804599979
349.115	62934	2601						0.989466479420662		62271.0834158599			13127.261941732
349.682	62941	2594						0.991182969808579		62386.0473027217			13151.4972845893
350.249	62795	2740						0.992434192240238		62319.9051017258			13137.5539588874
350.816	63130	2405						0.993091217041016		62693.8485317993			13216.384341927
351.384	63119	2416						0.993739856243134		62723.8659862103			13222.7122708029
351.951	63033	2502						0.994382788181305		62678.9302874322			13213.2394520235
352.518	63103	2432						0.996040526390076		62853.1453367929			13249.9654323935
353.086	60688	2596						0.997741638302803		60550.9445453205			12764.6423711213
353.653	51511	2610						0.999128044784069		51466.0847148722			10849.4784112818
354.221	42476	2381						1.00013590455055		42481.7726816893			8955.5107627952
354.788	33680	2892						1.00054483413696		33698.3500137329			7103.89226216311
355.356	25760	2693						1.00183970975876		25807.3909233856			5440.41250128107
355.923	19028	2612						1.00365853393078		19097.6145836349			4025.93588146509
356.491	13486	2553						1.00523326921463		13556.5758686285			2857.83886674958
357.059	9024	2562						1.00663014531136		9083.83043128967			1914.94695394115
357.627	5664	2328						1.00682718396187		5702.66916996002			1202.17005798936
358.195	3341	2330						1.00715135395527		3364.89267356455			709.347342436742
358.762	1919	2669						1.00771770453453		1933.81027500176			407.663278572338
359.33	1277	2186						1.00822899580002		1287.50842763662			271.417477497571
359.898	1049	2360						1.00869985723495		1058.12615023947			223.061786942545
360.466	872	2500						1.00792747545242		878.912758594513			185.282114475977
361.035	839	2520						1.00694804430008		844.829409167767			178.09706113768
361.603	797	2183						1.00698948335648		802.570618235111			169.188556780864
362.171	770	2485						1.00716028428078		775.513418896198			163.484674277976
362.739	750	2589						1.00763141655922		755.723562419414			159.312808051961
363.308	620	2385						1.00688281297684		624.267344045639			131.600744638229
363.876	639	2484						1.00510303258896		642.260837824345			135.393922677265
364.444	594	2902						1.00447392702103		596.65751265049			125.780362704761
365.013	579	2755						1.004150811553		581.403319889188			122.564652087523
365.581	587	2299						1.00319520795345		588.875587068677			124.139868113695
366.15	560	2583						1.00158222913742		560.886048316956			118.239440713575
366.719	563	2440						0.998137681722641		561.951514809847			118.464049905757
367.287	605	2528						0.995779790580273		602.446773301065			127.000786966557
367.856	635	2234						0.994477622509003		631.493290293217			133.124034164691
368.425	607	2434						0.993802699446678		603.238238564134			127.167634422168
368.994	595	2339						0.99334030175209		591.037479542494			124.595613015452
369.562	567	2756						0.990298313379288		561.499143686056			118.36868631304
370.131	577	2729						0.987527907848358		569.803602828503			120.119335321655
370.7	673	2281						0.985775721073151		663.42706028223			139.855938291576
371.269	641	2337						0.984593995511532		631.124751122892			133.046343044524
371.838	623	2362						0.984048472046852		613.062198085189			129.238606739715
372.408	650	2524						0.982729968547821		638.774479556084			134.658969377921
372.977	618	2119						0.981107778131962		606.324606885553			127.818266516255
373.546	614	2403						0.980528041481972		602.044217469931			126.915924851566
374.115	641	2515						0.979663261771202		627.964150795341			132.380062226574
374.685	578	2408						0.977496019005775		564.992698985338			119.10515680634
375.254	565	2464						0.97364751291275		550.110844795704			115.967938254652
375.823	544	2415						0.967709260225296		526.433837562561			110.976628341669
376.393	528	2282						0.964394857764244		509.200484899521			107.343694367625
376.963	559	2302						0.962266889691353		537.907191337466			113.395306676644
377.532	480	2513						0.958521593093872		460.090364685059			96.9908728543097
378.102	453	2561						0.95429851615429		432.297227817893			91.1318486038216
378.671	527	2403						0.948441964805126		499.828915452302			105.368089637622
379.241	471	2689						0.943709574460983		444.487209571123			93.7015980727834
379.811	470	2541						0.940525878190994		442.047162749767			93.1872159227232
380.381	423	2523						0.939956598103046		397.601640997589			83.8177305344346
380.951	450	2486						0.940684233129024		423.307904908061			89.2368246208901
381.521	427	2394						0.939129149258137		401.008146733224			84.5358502562173
382.091	430	2374						0.937774394989014		403.242989845276			85.0069737588333
382.661	395	2743						0.93860419178009		370.748655753136			78.1568980599571
383.231	442	2186						0.937647448182106		414.440172096491			87.3674328412519
383.801	447	2269						0.934068898558617		417.528797655702			88.0185407798262
384.371	406	2457						0.932353374302387		378.535469966769			79.7984232152419
384.941	481	2484						0.931637154757977		448.117471438587			94.4668874468741
385.512	482	2287						0.926070496559143		446.365979341507			94.0976583555206
386.082	613	2216						0.920365914821625		564.184305785656			118.934740800997
386.652	713	2459						0.917102174282074		653.893850263119			137.846258385564
387.223	912	2239						0.912918615043163		832.581776919365			175.515158465182
387.793	1107	2848						0.907318404018879		1004.4014732489			211.736178507563
388.364	1388	2519						0.899404264926911		1248.37311971855			263.167429320634
388.934	1726	2480						0.89019598031044		1536.47826201582			323.902387863735
389.505	2182	2363						0.884563174247742		1930.11684620857			406.884673085301
390.076	2688	2427						0.879530114650726		2364.17694818115			498.38815021282
390.646	3278	2309						0.87535333943367		2869.40824666357			604.895107094365
391.217	3977	2310						0.872629301667213		3470.44673273051			731.59901540718
391.788	4600	2313						0.872287121295929		4012.52075796127			845.872725300606
392.359	5339	2287						0.868538368582726		4637.12634986317			977.544775398236
392.93	6208	2510						0.862777935266495		5356.1254221344			1129.11575569634
393.501	7035	2495						0.858703207731247		6040.97706638932			1273.48817435688
394.072	7805	2661						0.855121397018433		6674.22250372887			1406.98157568167
394.643	8549	2546						0.853323435544968		7295.06205047393			1537.85971215927
395.214	9195	2510						0.848356268882752		7800.6358923769			1644.43888004087
395.785	9860	2368						0.838102157115936		8263.68726916313			1742.05395885615
396.356	10285	2551						0.834529288053513		8583.13372763038			1809.39592733699
396.928	10638	2374						0.834992248535156		8882.64753991699			1872.53592833546
397.499	10834	2333						0.824655086517333		8934.31320732879			1883.42748043806
398.07	10842	2213						0.813236365914345		8817.10867924333			1858.71979178809
398.642	10696	2416						0.805215138316155		8612.58111942959			1815.60368227627
399.213	10383	2378						0.800329155564308		8309.81762222421			1751.77862068761
399.785	10104	2569						0.80068980038166		8090.1697430563			1705.47502218544
400.356	9375	2491						0.800314058303833		7502.94429659844			1581.68301742742
400.928	8716	2282						0.799492532730103		6968.37691527557			1468.99177046024
401.499	7928	2345						0.798184989988804		6328.01060063124			1333.99722901539
402.071	7150	2180						0.796718373060226		5696.53636738062			1200.87721223367
402.643	6320	2318						0.794642602682114		5022.14124895096			1058.70911612508
403.215	5474	2578						0.7936623737216		4344.50783375204			915.858360142877
403.787	4720	2316						0.794501253068447		3750.04591448307			790.540846771318
404.358	3928	2954						0.793789621472359		3118.00563314342			657.301502347798
404.93	3280	2492						0.792153491377831		2598.26345171928			547.735530736901
405.502	2675	2389						0.791364559531212		2116.90019674599			446.260155803088
406.074	2196	2512						0.790548953771591		1736.04550248241			365.97282083016
406.646	1697	2512						0.788758821725845		1338.52372046876			282.171925233276
407.219	1385	2568						0.787281818270683		1090.3853183049			229.86228768844
407.791	1065	2440						0.786317712187767		837.428363479972			176.536859193905
408.363	854	2350						0.784434077084065		669.906701829791			141.221900584464
408.935	628	2545						0.782021016180515		491.109198161364			103.529900759944
409.508	518	2401						0.778879519701004		403.45959120512			85.0526351257413
410.08	458	2657						0.775861763954163		355.344687891006			74.9096136066294
410.652	389	2965						0.774140194654465		301.140535720587			63.4829278186417
411.225	356	2712						0.772592990100384		275.043104475737			57.9813724069651
411.797	316	2407						0.771322346150875		243.737861383677			51.3819669738744
412.37	235	2567						0.770030426383018		180.957150200009			38.1472712629865
412.943	268	2563						0.768728052437305		206.019118053198			43.4305423855872
413.515	231	2538						0.766408340036869		177.040326548517			37.321572283103
414.088	179	2429						0.764032154083252		136.761755580902			28.8305147532472
414.661	143	2543						0.76199011862278		108.964586963058			22.9706405762066
415.234	129	2675						0.760030833601952		98.0439775346518			20.6684853435337
415.806	111	2483						0.758194640755653		84.1596051238775			17.7415442412633
