Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
246.813	9.49646100104684	365	125.588909572706	365	140.429436467128
247.37	2.95445453365902	365.5	131.608293531359	365.5	139.671416151523
247.927	4.85374673386838	366	129.31285943128	366	138.913395835918
248.484	2.95445453365902	366.5	125.983114688717	366.5	138.155375520313
249.041	2.95445453365902	367	124.147233979078	367	137.397355204708
249.599	3.79858440041873	367.5	120.114058596738	367.5	136.639334889103
250.156	2.69524449147879	368	122.984083403286	368	135.881314573498
250.713	11.7698853598441	368.5	134.878910554163	368.5	135.123294257893
251.27	4.96579991113025	369	132.213192371861	369	134.365273942288
251.828	10.2907505202772	369.5	129.623007043073	369.5	133.607253626683
252.385	9.54926799833258	370	132.849233311078	370	132.849233311078
252.943	-5.81639763255106	370.5	131.508569656326	370.5	132.091212995473
253.501	4.17293769770651	371	124.764702299543	371	131.333192679868
254.058	0.46227882789681	371.5	125.740233436806	371.5	130.575172364262
254.616	0.928657203208071	372	131.575390988479	372	129.817152048657
255.174	1.16786460662445	372.5	129.296081012633	372.5	129.059131733052
255.732	8.01816568021395	373	126.496935020403	373	128.301111417447
256.29	7.58462892682308	373.5	125.632728585119	373.5	127.543091101842
256.847	12.3358059998806	374	115.411040456889	374	126.785070786237
257.406	4.04268252551697	374.5	122.786876425738	374.5	126.027050470632
257.964	6.91710038775197	375	119.218266718453	375	125.269030155027
258.522	-7.91609130095535	375.5	107.140097820581	375.5	124.511009839422
259.08	2.89435320458398	376	106.330820712669	376	123.752989523817
259.638	3.87149093893445	376.5	108.973471034901	376.5	122.994969208212
260.196	7.2904483749847	377	110.094757692654	377	122.236948892607
260.755	-1.2228590404099	377.5	105.087875860583	377.5	121.478928577002
261.313	12.3027028622768	378	102.113070196141	378	120.720908261397
261.872	1.7323784717082	378.5	98.9293339670838	378.5	119.962887945792
262.43	11.7126700817269	379	89.9449780233665	379	119.204867630186
262.989	3.01224640940412	379.5	90.3262477584593	379.5	118.446847314581
263.548	1.26489003729735	380	93.4316033275473	380	117.688826998976
264.106	8.14647990202251	380.5	84.1787617506759	380.5	116.930806683371
264.665	-5.85702740963601	381	84.0686064811923	381	116.172786367766
265.224	1.53077751197555	381.5	96.9082860888395	381.5	115.414766052161
265.783	0	382	84.7592167204435	382	114.656745736556
266.342	5.66794879165621	382.5	87.0481449055042	382.5	113.898725420951
266.901	13.2237124730644	383	85.7660201551205	383	113.140705105346
267.46	-2.60313394214254	383.5	78.6788877694291	383.5	112.382684789741
268.019	3.13411973588199	384	81.4140991384355	384	111.624664474136
268.578	14.3712735632687	384.5	96.1457476345273	384.5	110.866644158531
269.137	-2.35434034345292	385	109.408896591033	385	110.108623842926
269.697	7.87324311385874	385.5	102.617035105367	385.5	109.350603527321
270.256	-2.36697190603826	386	114.200966524714	386	108.592583211715
270.815	9.21227173641947	386.5	133.861499927607	386.5	107.83456289611
271.375	7.10264142808804	387	161.477158841121	387	107.076542580505
271.934	16.2897357344717	387.5	194.741891595605	387.5	106.3185222649
272.494	6.28062189235256	388	234.846364458191	388	105.560501949295
273.054	17.9923860003829	388.5	286.686489511984	388.5	104.80248163369
273.613	-6.80612769961362	389	345.480037393042	389	104.044461318085
274.173	11.0151626141956	389.5	406.683166968866	389.5	103.28644100248
274.733	0	390	477.195227014602	390	102.528420686875
275.293	10.4589172884641	390.5	572.381115278945	390.5	101.77040037127
275.853	2.88074000702367	391	673.795452920149	391	101.012380055665
276.413	10.7437383240871	391.5	779.836430435725	391.5	100.25435974006
276.973	4.1937339513219	392	898.061260075422	392	99.4963394244546
277.533	10.4545778818462	392.5	1034.29947083648	392.5	98.7383191088496
278.093	7.55750434109769	393	1175.87754246028	393	97.9802987932445
278.653	10.6585149890338	393.5	1295.43371228938	393.5	97.2222784776394
279.213	17.1123230927862	394	1428.00431815771	394	96.4642581620344
279.774	4.39474840910372	394.5	1550.51189080121	394.5	95.7062378464293
280.334	3.35125667454477	395	1641.45792620593	395	94.9482175308242
280.895	4.37046970726296	395.5	1723.49754121427	395.5	94.1901972152192
281.455	14.0648648531486	396	1794.69964504502	396	93.4321768996141
282.016	4.32216277165556	396.5	1850.2042117326	396.5	92.674156584009
282.576	12.7009202666509	397	1896.34583981754	397	91.916136268404
283.137	-1.52040090786272	397.5	1901.41211556486	397.5	91.1581159527989
283.698	12.8301006184009	398	1875.69521108534	398	90.4000956371938
284.258	1.25053480806822	398.5	1846.07850830856	398.5	89.6420753215887
284.819	10.7098365243265	399	1814.54986377328	399	88.8840550059837
285.38	12.9015476627902	399.5	1755.76274720032	399.5	88.1260346903786
285.941	8.65152150167757	400	1650.73955529179	400	87.3680143747735
286.502	14.4797705514139	400.5	1546.77119000729	400.5	86.6099940591685
287.063	20.707959878665	401	1468.40723249684	401	85.8519737435634
287.624	19.632205338236	401.5	1345.7739893806	401.5	85.0939534279583
288.185	11.3333589162783	402	1224.9634952338	402	84.3359331123533
288.747	19.9134445153386	402.5	1101.27645432429	402.5	83.5779127967482
289.308	14.5818041974654	403	978.006525186066	403	82.8198924811431
289.869	11.9223900535613	403.5	857.178169452308	403.5	82.0618721655381
290.431	2.36724927653758	404	745.438063465211	404	81.303851849933
290.992	14.3145164576185	404.5	643.430394846724	404.5	80.5458315343279
291.554	3.26795823719644	405	541.388451263526	405	79.7878112187229
292.115	19.2830377673702	405.5	449.720016709203	405.5	79.0297909031178
292.677	27.8050023535331	406	381.123523310564	406	78.2717705875127
293.238	11.084304323159	406.5	309.879598020935	406.5	77.5137502719076
293.8	19.771953685365	407	257.581021333253	407	76.7557299563026
294.362	22.1521166672759	407.5	210.724587186555	407.5	75.9977096406975
294.924	21.9755736406531	408	168.701400767105	408	75.2396893250924
295.486	25.5209883096697	408.5	132.027133242116	408.5	74.4816690094874
296.048	18.925953020264	409	95.4859912155902	409	73.7236486938823
296.61	27.6302677403947	409.5	92.4714656788095	409.5	72.9656283782772
297.172	26.1942062327304	410	77.9185892379235	410	72.2076080626722
297.734	21.1795768937411	410.5	73.1539471304089	410.5	71.4495877470671
298.296	5.77539690149284	411	63.3979029994674	411	70.691567431462
298.858	13.285946799907	411.5	54.8354266004736	411.5	69.933547115857
299.42	17.4482813366808	412	43.6790631524125	412	69.1755268002519
299.983	24.0169772349785	412.5	35.7944097817645	412.5	68.4175064846468
300.545	23.0387756124276	413	44.5970477674472	413	67.6594861690417
301.108	22.7359147830885	413.5	29.5024803066834	413.5	66.9014658534367
301.67	27.078805877132	414	25.762785359149	414	66.1434455378316
302.233	10.8909069674517	414.5	26.0810419415261	414.5	65.3854252222265
302.795	34.9055787174708	415	28.712110442114	415	64.6274049066215
303.358	13.1873188161322	415.5	25.358050920189	415.5	63.8693845910164
303.921	20.716121330501	416	21.3618724044451	416	63.1113642754113
304.484	22.2280943910093	416.5	22.9482082048436	416.5	62.3533439598063
305.046	32.8071676871307	417	18.4937944604393	417	61.5953236442012
305.609	27.9894353540993	417.5	16.1121690873428	417.5	60.8373033285961
306.172	27.073127746184	418	19.8081894409028	418	60.0792830129911
306.735	46.3637794177424	418.5	17.3212751718421	418.5	59.321262697386
307.298	36.4286210907612	419	14.1432312347411	419	58.5632423817809
307.861	33.3525618787284	419.5	17.1679937514335	419.5	57.8052220661758
308.425	55.6051230870722	420	13.947316619192	420	57.0472017505708
308.988	51.1425349575551	420.5	3.59359626587351	420.5	56.2891814349657
309.551	62.6268974081493	421	2.70345093311001	421	55.5311611193606
310.114	67.2889593974959	421.5	1.81252541138151	421.5	54.7731408037556
310.678	82.1483421560636	422	11.9328577676577	422	54.0151204881505
311.241	83.1853865615574	422.5	14.4920379711009	422.5	53.2571001725454
311.805	95.5549944361154	423	7.90108572549938	423	52.4990798569404
312.368	100.481010567685	423.5	6.53765279269063	423.5	51.7410595413353
312.932	120.630393903866	424	9.7091834415309	424	50.9830392257302
313.496	122.027957870106	424.5	11.1481051008435	424.5	50.2250189101252
314.059	130.28853059455	425	18.5049229097819	425	49.4669985945201
314.623	147.207883081355	425.5	23.2224550822961	425.5	48.708978278915
315.187	153.005349611407	426	2.45183926897188	426	47.9509579633099
315.751	178.486762440647	426.5	0.556407828072416	426.5	47.1929376477049
316.315	185.280728126189	427	9.05157122458992	427	46.4349173320998
316.879	198.585539844938	427.5	9.53733107716686	427.5	45.6768970164947
317.443	204.073003926798	428	7.71246306342311	428	44.9188767008897
318.007	234.231218570225	428.5	3.80205523529416	428.5	44.1608563852846
318.571	239.266972683408	429	0.0486779288693851	429	43.4028360696795
319.135	244.679954470277	429.5	10.9135671170608	429.5	42.6448157540745
319.7	269.255677281298	430	10.2702338590877	430	41.8867954384694
320.264	272.405519071897	430.5	6.83784270155338	430.5	41.1287751228643
320.828	288.865202998119	431	3.00159809179302	431	40.3707548072593
321.393	286.848440659147	431.5	10.0528760622103	431.5	39.6127344916542
321.957	287.626392971223	432	17.5969526081316	432	38.8547141760491
322.522	303.385373448013	432.5	11.2072455075532	432.5	38.0966938604441
323.086	297.368615258058	433	26.0872753513218	433	37.338673544839
323.651	317.906654823768	433.5	18.1413379376458	433.5	36.5806532292339
324.216	324.83040573163	434	2.48045806248816	434	35.8226329136289
324.78	327.502476069922	434.5	77.768501951195	434.5	35.0646125980238
325.345	326.042478963545	435	76.0268774013886	435	34.3065922824187
325.91	334.277476356473	435.5	8.70124673143886	435.5	33.5485719668136
326.475	314.391131775536	436	18.2702261007077	436	32.7905516512086
327.04	317.206553740059	436.5	12.7487631915237	436.5	32.0325313356035
327.605	323.393185950034	437	9.11500310737196	437	31.2745110199984
328.17	326.252931414647	437.5	11.2188297055013	437.5	30.5164907043934
328.735	310.14353259906	438	7.73509903083466	438	29.7584703887883
329.3	296.073492592806	438.5	1.35228012836992	438.5	29.0004500731832
329.866	313.128457612749	439	5.91412119795913	439	28.2424297575782
330.431	320.139857513343	439.5	11.6692963361419	439.5	27.4844094419731
330.996	308.910672494914	440	5.06629922486686	440	26.726389126368
331.562	323.647117524191	440.5	2.26271862256273	440.5	25.968368810763
332.127	330.469921678307	441	4.91354010003382	441	25.2103484951579
332.693	323.101281737163	441.5	5.18993188678129	441.5	24.4523281795528
333.258	329.861476887147	442	-1.13355828247002	442	23.6943078639478
333.824	333.015892754477	442.5	0.126723221046644	442.5	22.9362875483427
334.389	333.802671992057	443	6.85405096223603	443	22.1782672327376
334.955	326.655261507713	443.5	8.11499404503354	443.5	21.4202469171325
335.521	346.365942226317	444	8.15847978574788	444	20.6622266015275
336.087	346.857684714515	444.5	7.35611121166414	444.5	19.9042062859224
336.653	342.664157491946	445	1.51246038660179	445	19.1461859703173
337.218	354.339881779684	445.5	18.0240821727412	445.5	18.3881656547123
337.784	347.824418784203	446	8.93985115605472	446	17.6301453391072
338.35	345.395751472851	446.5	-0.652176832359722	446.5	16.8721250235021
338.917	356.958166398295	447	1.68393419689703	447	16.1141047078971
339.483	354.081916094907	447.5	-1.68848640612889	447.5	15.356084392292
340.049	372.472777889825	448	4.66980237303052	448	14.5980640766869
340.615	373.058983677499	448.5	-1.04159241705256	448.5	13.8400437610818
341.181	402.042149811146	449	4.83420032544703	449	13.0820234454768
341.748	427.99890091095	449.5	10.881128682794	449.5	12.3240031298717
342.314	527.540531822019	450	11.5659828142666	450	11.5659828142667
342.881	698.067688533053				
343.447	1060.04539243895				
344.014	1615.26646247645				
344.58	2387.24827248896				
345.147	3447.87045713407				
345.714	4712.73325748322				
346.28	6272.04457183527				
346.847	7953.6767643803				
347.414	9800.58495759158				
347.981	11695.9382745399				
348.548	13137.8208185918				
349.115	13148.3198614665				
349.682	13166.9456518374				
350.249	13156.7591933899				
350.816	13229.1800550154				
351.384	13244.3217688305				
351.951	13232.3255973059				
352.518	13266.1562685361				
353.086	13053.6222776019				
353.653	11203.2218520642				
354.221	9227.3822840521				
354.788	7359.12187903852				
355.356	5626.96206832083				
355.923	4215.12207351936				
356.491	3005.34284463503				
357.059	2019.16276300328				
357.627	1284.8255865073				
358.195	770.03834199379				
358.762	449.778338415301				
359.33	280.642379551053				
359.898	224.150445230242				
360.466	208.876723804271				
361.035	172.12397098997				
361.603	176.168696446331				
362.171	156.219486570769				
362.739	149.062703288883				
363.308	142.577410636122				
363.876	137.65898258686				
364.444	118.070972073547				
365.013	125.87360307829				
365.581	131.681604288291				
366.15	128.088019255047				
366.719	125.119837499638				
367.287	122.302565712932				
367.856	120.043961606719				
368.425	134.014041808032				
368.994	132.274671163137				
369.562	129.779744511242				
370.131	133.376288203766				
370.7	128.979022853089				
371.269	123.42209193917				
371.838	130.622024954659				
372.408	130.032231704183				
372.977	126.504858244305				
373.546	124.981643756562				
374.115	114.947859589336				
374.685	125.214021414718				
375.254	111.365410094379				
375.823	105.989179484272				
376.393	108.271908870842				
376.963	110.266768552668				
377.532	104.780613254071				
378.102	101.700924760403				
378.671	96.4732868203234				
379.241	87.6274781084583				
379.811	94.27871062867				
380.381	86.4855527329141				
380.951	82.9792340911009				
381.521	96.9133163041879				
382.091	83.118354384739				
382.661	88.9361050687503				
383.231	81.5241101966598				
383.801	79.0446643521894				
384.371	91.0984134038447				
384.941	109.312761876681				
385.512	102.601244139263				
386.082	117.313161914333				
386.652	141.089445519129				
387.223	176.087097038818				
387.793	216.748161468546				
388.364	271.608809328505				
388.934	337.584875651583				
389.505	407.317319055183				
390.076	490.008841404243				
390.646	602.397924668258				
391.217	718.381297857334				
391.788	846.403991391376				
392.359	993.430685305781				
392.93	1157.80955727229				
393.501	1295.68193098687				
394.072	1447.09573103402				
394.643	1579.83262385278				
395.214	1675.72750226724				
395.785	1767.60645494994				
396.356	1833.86231756678				
396.928	1891.97185799958				
397.499	1901.44082205402				
398.07	1871.33658878456				
398.642	1837.92542262293				
399.213	1794.68290147603				
399.785	1701.37447279042				
400.356	1570.69792360952				
