Wavelength	I	Idark	R	Rdark	XCorrect	Ic	Rc	Ic/Rc
nm	uA	uA	uA	uA				
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp 	Dark subtracted Abs Detecto	Corrected Ref Detector	Corrected Intensity
600	0.823939830539486	0.00285451840690598	1.274899727114	9.18722149038928E-8	0.987989187240601	0.82108531213258	1.25958705443587	0.651868649523646
599	0.834798382284427		1.29183160341964		0.987889766693115	0.831943863877521	1.2761871305494	0.651898020253009
598	0.845257874735309		1.30807237026148		0.987848818302155	0.842403356328403	1.29217765446064	0.651925339693343
597	0.855423087707386		1.32404285054435		0.987856447696686	0.85256856930048	1.30796417618037	0.651828685239854
596	0.86460732076395		1.33846245955655		0.987930059432983	0.861752802357044	1.3223072064552	0.651703929427416
595	0.877334356235556		1.35832578802943		0.988070905208588	0.87447983782865	1.34212210017014	0.65156503846989
594	0.88784329021456		1.37449996704195		0.988251626491547	0.884988771807654	1.35835173724892	0.651516648846808
593	0.899495409613802		1.39320985161074		0.988462150096893	0.896640891206896	1.37713511464712	0.651091444601391
592	0.914032267160696		1.41548392531324		0.988645374774933	0.91117774875379	1.39941154500016	0.651114928992302
591	0.919572358080941		1.42446438792384		0.988836348056793	0.916717839674035	1.40856207244498	0.650818205038558
590	0.931037833498995		1.44246838718052		0.989001393318176	0.928183315092089	1.42660315387721	0.650624746320996
589	0.943108474014728		1.46079323146765		0.989067733287811	0.940253955607822	1.44482335938204	0.650774331341082
588	0.950624727646804		1.47306720755386		0.98906421661377	0.947770209239898	1.45695797279117	0.650513073773986
587	0.959965972116314		1.48765018326463		0.988976001739502	0.957111453709408	1.47125023937267	0.650542938309061
586	0.9681869040903		1.49989581767615		0.988833606243134	0.965332385683394	1.48314729953536	0.650867507216452
585	0.974987393870256		1.5111209686933		0.988634169101715	0.97213287546335	1.49394573246827	0.650714985381168
584	0.981502213180161		1.52106905062377		0.988370776176453	0.978647694773255	1.50338010737918	0.6509649089872
583	0.988720712907177		1.53284539029839		0.98806756734848	0.985866194500271	1.51455472513751	0.650928076838401
582	0.998957289709535		1.54845466300213		0.987787842750549	0.996102771302629	1.52954460041365	0.65124140285497
581	1.00286005916416		1.55467361591918		0.987524926662445	1.00000554075725	1.53527885781852	0.651351079098528
