Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
450	247.649	1.99742806379949
450	249.877	4.39458637231326
450	252.107	-8.15853514651596
450	254.337	2.19222497699452
450	256.568	-6.05965598422267
450	258.801	-0.911158735799713
450	261.034	-4.17973230953993
450	263.268	3.57726001730634
450	265.503	6.05005342067509
450	267.739	4.19596123280803
450	269.976	5.22456733281039
450	272.214	7.94237637244924
450	274.453	-3.22013757125834
450	276.693	2.23165325364675
450	278.933	1.96654894951263
450	281.175	-1.21292533040193
450	283.417	-4.29854703376926
450	285.66	3.28202787428679
450	287.905	-8.4664592078035
450	290.15	0.450977540443054
450	292.396	1.09686247303032
450	294.643	-4.73492746329009
450	296.891	2.97225518713533
450	299.139	10.4614578926161
450	301.389	-2.06830101984751
450	303.639	-4.49553845237369
450	305.891	4.8870886577169
450	308.143	3.02939270281427
450	310.396	-4.01196502966134
450	312.65	-2.19045651268217
450	314.905	5.71527979566274
450	317.161	2.35188847751664
450	319.417	-1.94500822497472
450	321.675	-8.26029769053126
450	323.933	-0.596000391138584
450	326.192	-0.596617148305116
450	328.453	-7.18214259952218
450	330.713	1.59565318955116
450	332.975	-6.38758048657236
450	335.238	-2.79194811000662
450	337.501	-6.14778869800016
450	339.766	-2.76503911580427
450	342.031	0.393854434346001
450	344.297	1.56858830110064
450	346.564	-4.72539632036207
450	348.832	2.96025318953297
450	351.1	-3.17314787078233
450	353.369	-0.396772649330814
450	355.64	2.6042786322991
450	357.911	0.803653718098814
450	360.182	4.42936458381133
450	362.455	1.40940306434384
450	364.729	-4.61050027784135
450	367.003	-3.18365481609617
450	369.278	3.56521334340076
450	371.554	-3.93134417432797
450	373.831	1.95832515607292
450	376.108	-0.384634833185442
450	378.387	8.73935684938152
450	380.666	6.9469865798669
450	382.946	-10.3124290385088
450	385.226	9.64898252264786
450	387.508	11.4494370891295
450	389.79	5.10814597139381
450	392.073	-0.345621205251414
450	394.357	-4.43364989416126
450	396.642	-0.500425866937623
450	398.927	3.84013719339114
