Long Name	Wavelength	S1c/R1c
nm	nm	
		Z of S1c/R1c
800	247.649	-43.7753342924236
800	249.877	17.5101337169694
800	252.107	29.0036533891222
800	254.337	-35.2384996192913
800	256.568	0
800	258.801	86.5026528645944
800	261.034	-40.7136831470958
800	263.268	-170.757115972361
800	265.503	-17.6779578261835
800	267.739	28.84798084802
800	269.976	-25.4459116977179
800	272.214	32.6414163507841
800	274.453	39.8434883055842
800	276.693	-50.7391520639544
800	278.933	-129.261595925176
800	281.175	3.54687221345093
800	283.417	-20.9497681286078
800	285.66	-23.9729026934481
800	287.905	-30.087910465997
800	290.15	-39.4551524141108
800	292.396	28.8769523064883
800	294.643	-12.5822524588019
800	296.891	-3.10183159327327
800	299.139	-55.0429911830826
800	301.389	48.3450976880027
800	303.639	5.97381480606853
800	305.891	-23.7897879697669
800	308.143	-56.0880548446823
800	310.396	-85.018435342593
800	312.65	81.3855771083329
800	314.905	43.2097852069315
800	317.161	14.3188722567633
800	319.417	-76.7875625536954
800	321.675	51.7361626386697
800	323.933	66.6208968233325
800	326.192	-52.2888743292176
800	328.453	-8.74816925922864
800	330.713	-87.45688738116
800	332.975	11.6704004697982
800	335.238	78.6564166322773
800	337.501	-89.8547884314936
800	339.766	-28.8718913741866
800	342.031	34.5728110260116
800	344.297	-11.4743126272053
800	346.564	5.75173886830521
800	348.832	8.65453156748874
800	351.1	-11.596585948707
800	353.369	49.5343341640745
800	355.64	61.4540475241116
800	357.911	-70.5256148304441
800	360.182	-73.5753733724229
800	362.455	55.8588474814519
800	364.729	38.1024994003868
800	367.003	63.9745986663402
800	369.278	-43.4178247251134
800	371.554	17.2355880300869
800	373.831	-8.58223885106556
800	376.108	-39.4457313090412
800	378.387	-55.5284333726356
800	380.666	-16.465136214233
800	382.946	-43.8462662180326
800	385.226	-13.5577840641414
800	387.508	42.4967914671389
800	389.79	10.2957951204473
800	392.073	30.5174885499507
800	394.357	27.4222232185528
800	396.642	-14.6167726745139
800	398.927	-65.470738226747
800	401.214	11.6569734845037
800	403.501	37.0786099593611
800	405.788	-53.0956011497596
800	408.077	-6.87833604571682
800	410.366	-83.6839531334715
800	412.656	-22.4532554342632
800	414.947	-15.5454855640962
800	417.239	-13.2059885538259
800	419.531	23.8921917138489
800	421.824	-12.9482808882008
800	424.118	34.2520567457953
800	426.413	4.23611709984412
800	428.708	25.1517615367877
800	431.004	-39.7310395698875
800	433.301	49.90954367058
800	435.598	116.562142785236
800	437.897	-2.06977974139101
800	440.196	-16.5454702505351
800	442.495	30.7428294131272
800	444.796	34.8066736942955
800	447.097	-16.2409184755936
800	449.399	30.182431632125
800	451.702	88.2822552105371
800	454.005	51.977543541327
800	456.309	-37.8736001594971
800	458.614	37.7346373630752
800	460.919	-98.8409079625731
800	463.225	47.2103213717205
800	465.532	23.487332940503
800	467.84	13.604793749608
800	470.148	-34.8557588304325
800	472.457	44.4500392370892
800	474.766	-9.64418388600074
800	477.077	21.1924153365532
800	479.388	13.4674714740999
800	481.699	36.5841945807235
800	484.012	40.5459061658393
