Long Name	Wavelength	S1c/R1c
nm	nm	
		Z of S1c/R1c
450	247.649	1.99716739077201
450	249.877	1.79745065169481
450	252.107	2.64647439926162
450	254.337	1.53461351218965
450	256.568	2.24408428842806
450	258.801	-2.50452296331934
450	261.034	3.94715628137564
450	263.268	0.238483856081981
450	265.503	2.41957084805225
450	267.739	1.72742709876105
450	269.976	-1.24384491271301
450	272.214	2.48200550142843
450	274.453	1.73515774471415
450	276.693	3.96836313321211
450	278.933	2.45721561805022
450	281.175	3.39820701331519
450	283.417	-2.86738144393327
450	285.66	0.468736564245545
450	287.905	7.3210900900184
450	290.15	-3.60013441693077
450	292.396	-4.61109845264678
450	294.643	9.68695253021307
450	296.891	0.84909143606343
450	299.139	-2.51123306899407
450	301.389	0.827120347852581
450	303.639	5.31460952337016
450	305.891	2.645575687554
450	308.143	2.42423254923017
450	310.396	0.200627917081976
450	312.65	2.18805560953511
450	314.905	-0.591409582855995
450	317.161	1.17588896512018
450	319.417	3.89254254270891
450	321.675	-1.37687971683592
450	323.933	0.594675638527122
450	326.192	1.7891862460642
450	328.453	-0.199559394073085
450	330.713	2.39403371418187
450	332.975	6.58894620565174
450	335.238	-6.97773853183757
450	337.501	7.53770927415
450	339.766	-0.197583870784113
450	342.031	5.71778338541522
450	344.297	1.17786140545189
450	346.564	0.984046052448129
450	348.832	4.73816093241907
450	351.1	-0.198402168213577
450	353.369	-3.38986641159297
450	355.64	-0.801064420213276
450	357.911	0.603299753860566
450	360.182	-1.40983004041293
450	362.455	3.01790721308679
450	364.729	0.601738253933351
450	367.003	0
450	369.278	3.56554203908539
450	371.554	1.96585331276544
450	373.831	4.30703377489558
450	376.108	1.15690974958611
450	378.387	-4.75008835676435
450	380.666	-0.938988635472766
450	382.946	2.81306745931676
450	385.226	2.22677434180977
450	387.508	-4.54414752243346
450	389.79	-3.17065259719226
450	392.073	7.13555331038759
450	394.357	0.511808489579643
450	396.642	1.50044128697991
450	398.927	0.320033511246555
450	401.214	0.797741274669401
450	403.501	1.58591430331765
450	405.788	6.00330705452637
450	408.077	-0.313811160447378
450	410.366	0.464342005104885
450	412.656	0.921948838663046
450	414.947	5.01529456692668
450	417.239	-2.40999367602082
450	419.531	4.60788098940756
450	421.824	9.74722634969396
450	424.118	3.51604292204532
450	426.413	9.71156045683068
450	428.708	7.45876215519526
450	431.004	10.5897157171027
450	433.301	14.37374663517
450	435.598	15.8113418518026
450	437.897	17.7055898275949
450	440.196	23.777963932874
450	442.495	80.0875371789711
450	444.796	393.72788555336
450	447.097	1041.69910157256
450	449.399	1464.31960399112
450	451.702	1186.48158402201
450	454.005	518.374061824715
450	456.309	116.224808129604
450	458.614	16.3096289187209
450	460.919	7.71112657106875
450	463.225	9.96170528276263
450	465.532	8.30463217642402
450	467.84	6.38427247063748
450	470.148	7.95114258314205
450	472.457	1.4548333630495
450	474.766	-2.11198930675221
450	477.077	1.45029620650502
450	479.388	6.45149490322081
450	481.699	4.74371569145449
450	484.012	2.90687697032633
450	486.324	2.77804893312525
