Long Name	Wavelength	S1c/R1c
nm	nm	
		Z of S1c/R1c
800	247.649	2.90444175366751
800	249.877	-26.1399757830076
800	252.107	25.6581088487074
800	254.337	-9.56467984422184
800	256.568	-29.371753827736
800	258.801	-82.7790706943551
800	261.034	43.8962032347132
800	263.268	10.4046732243969
800	265.503	-49.2622885858978
800	267.739	-39.4768579078879
800	269.976	36.1779900499387
800	272.214	36.0953240298732
800	274.453	-50.468124266732
800	276.693	39.6764049241035
800	278.933	-132.21879540833
800	281.175	-28.2396941150112
800	283.417	24.3248667235414
800	285.66	-27.2669793219316
800	287.905	9.98148670370933
800	290.15	19.6335208950122
800	292.396	60.6718037190324
800	294.643	40.697357870073
800	296.891	-61.7408593535778
800	299.139	-21.3035520071016
800	301.389	-24.0573012028041
800	303.639	-20.8086669165047
800	305.891	29.5954565255515
800	308.143	23.5034288032719
800	310.396	-52.5184710921089
800	312.65	2.89276980307395
800	314.905	-14.3345911973695
800	317.161	-19.9508456879706
800	319.417	11.3216980621746
800	321.675	37.1868609310237
800	323.933	28.8275077727195
800	326.192	5.78217514150573
800	328.453	-20.3150746107909
800	330.713	-58.0266123517878
800	332.975	-49.3627275117932
800	335.238	-57.986226554628
800	337.501	-23.0777773128553
800	339.766	-51.7216295566807
800	342.031	-34.4079779773324
800	344.297	-14.2745080767681
800	346.564	22.8972650402206
800	348.832	-37.324166935737
800	351.1	-11.5412968194905
800	353.369	23.1991383294465
800	355.64	40.7740350692855
800	357.911	-23.3964564437452
800	360.182	-84.9405215193658
800	362.455	81.9258319720746
800	364.729	58.339750507924
800	367.003	-2.89407211344087
800	369.278	14.4036070795766
800	371.554	-2.85890229810653
800	373.831	0
800	376.108	19.6288328010138
800	378.387	-71.8427970613408
800	380.666	16.3866352616472
800	382.946	128.184333890858
800	385.226	-13.4931445160599
800	387.508	68.7280411965561
800	389.79	-51.2335389067646
800	392.073	2.53099917437089
800	394.357	54.5829641612631
800	396.642	-14.5470841785458
800	398.927	-16.2896482250946
800	401.214	-20.8825136013291
800	403.501	13.8381862479151
800	405.788	-27.5699774904113
800	408.077	-15.9729316873266
800	410.366	-31.5132328479453
800	412.656	13.4077229286381
800	414.947	-15.471369236766
800	417.239	-54.7626094325819
800	419.531	30.2632663880013
800	421.824	19.3298209094276
800	424.118	-51.1331294395309
800	426.413	-6.32388079918529
800	428.708	-95.9554069677716
800	431.004	33.2982009234133
800	433.301	-28.9750939143284
800	435.598	16.5723440841068
800	437.897	-20.5991163709914
800	440.196	-22.6415561470531
800	442.495	6.11925131926303
800	444.796	8.15075897807775
800	447.097	26.2656656073348
800	449.399	8.01027483413018
800	451.702	-19.9684889192523
800	454.005	-45.7609148405726
800	456.309	-9.91921839838864
800	458.614	21.7422119034506
800	460.919	-41.3152586403326
800	463.225	-5.87315454635284
800	465.532	35.0630283124101
800	467.84	21.2770329720126
800	470.148	-13.4903909658771
800	472.457	-1.9233962806038
800	474.766	19.196406477286
800	477.077	-13.42178479096
800	479.388	-11.48851072288
800	481.699	3.83260756249332
