Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
450	247.649	4.39267480140121
450	249.877	-0.799037809167745
450	252.107	-5.73349959954519
450	254.337	-2.41138548202493
450	256.568	-0.897864086576853
450	258.801	-3.64189069038094
450	261.034	-5.57217784570962
450	263.268	8.58390909171864
450	265.503	2.66065858133763
450	267.739	-1.48069402100284
450	269.976	0.497665654608114
450	272.214	-7.19700910169555
450	274.453	3.46942485803877
450	276.693	-0.496639488486897
450	278.933	-2.94857465810966
450	281.175	-4.6116447263396
450	283.417	5.01754958052106
450	285.66	-2.8120183926348
450	287.905	-2.51744673932019
450	290.15	5.3998936425698
450	292.396	-0.218749611648858
450	294.643	-8.39557984497194
450	296.891	0.212091264698797
450	299.139	11.2990450008983
450	301.389	-2.27433330305855
450	303.639	-3.4752517551553
450	305.891	-4.47681471683909
450	308.143	-1.81827810554983
450	310.396	4.01183748577049
450	312.65	-6.36453798399124
450	314.905	0.197203985838743
450	317.161	-4.70295229367181
450	319.417	2.72364758793019
450	321.675	2.75352385618633
450	323.933	4.36010679806134
450	326.192	1.19228062879929
450	328.453	1.79576139745124
450	330.713	2.39321449891458
450	332.975	-3.19522133389587
450	335.238	6.57907883615788
450	337.501	-5.35611412434678
450	339.766	-0.592616389759142
450	342.031	-4.14073370259393
450	344.297	-2.35552128449243
450	346.564	0.590158246607632
450	348.832	1.1835268874719
450	351.1	10.5135497412571
450	353.369	10.7665486237087
450	355.64	3.20384650606519
450	357.911	-0.402234243134074
450	360.182	3.82626802661717
450	362.455	-0.805153913037627
450	364.729	2.20589314334774
450	367.003	-0.596908943677772
450	369.278	-0.792817156401712
450	371.554	-1.96585331276544
450	373.831	2.15241151835746
450	376.108	2.69879627675435
450	378.387	8.35953784280958
450	380.666	4.69430055163852
450	382.946	0.374530185315304
450	385.226	4.63793849182418
450	387.508	5.99802593545324
450	389.79	3.52288705428222
450	392.073	-4.1774154646037
450	394.357	6.14056349139005
450	396.642	4.83367133644155
450	398.927	8.47938225275921
