Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
450	3.20674539897033	0.00286244319153465	5.2522436232188	7.86724087432578E-8	1.0119651556015	3.2038829557788	5.31508745581387	0.602790261197726	0.00687278700494606	98.4299383279212
448	2.90799918434375		4.78677837280006		1.00756251811981	2.90513674115222	4.82297839171251	0.602353256681433	0.00705988467552917	98.3875430255905
446	2.64533424724227		4.37469281455084		1.00348556041718	2.64247180405073	4.38994099171591	0.601937886873021	0.00715981383518713	98.3649071094838
444	2.48061279770515		4.11760119773959		1.00001692771912	2.47775035451361	4.11767082066235	0.601735899353667	0.00729263171279499	98.3348293138834
442	2.44364283203256		4.06360311039025		0.997353196144104	2.44078038884103	4.05284747154466	0.602238402993926	0.0074437674008467	98.3006144734576
440	2.44907533201085		4.07403919596053		0.99558562040329	2.44621288881932	4.05605476213256	0.60310154380982	0.00758895969575638	98.2677563394168
438	2.47765209459198		4.11780514142367		0.994712889194489	2.47478965140044	4.096033771109	0.604191710736408	0.00774850090540779	98.2316636003805
436	2.51677709118043		4.17581779906946		0.994661867618561	2.5139146479889	4.15352665260481	0.605248228372951	0.00795789813598225	98.1843121346395
434	2.57796225369637		4.26765293216605		0.995339572429657	2.57509981050483	4.24776376647457	0.6062248166503	0.0082144743385466	98.1263230996123
432	2.66225539300799		4.39589063022135		0.996668756008148	2.65939294981645	4.38124676756025	0.606994559061864	0.00849609599389132	98.0627129439953
430	2.77188793326002		4.56387925096937		0.99854189157486	2.76902549006849	4.55722454162451	0.607612257148386	0.00872233869648938	98.011641156732
428	2.86647862949664		4.70910935781093		1.00089848041534	2.8636161863051	4.71334032159954	0.607555574373057	0.00897055554710394	97.9556395472912
426	2.92360047497151		4.79772447952716		1.00344467163086	2.92073803177998	4.81425098599105	0.606685866665242	0.0092762419562045	97.8867158717659
424	2.93201135221655		4.81493016793497		1.00566327571869	2.92914890902502	4.84219836592426	0.604921295591308	0.00956559232643906	97.8215201913834
422	3.07029088291401		5.05957631279074		1.00706160068512	3.06742843972248	5.0953049411196	0.602010767788997	0.00987857785711605	97.7510479842318
420	2.96733343378114		4.9121910545906		1.00703954696655	2.96447099058961	4.94677057500185	0.599274000207398	0.0101916664330168	97.6806033696811
418	2.82065862316931		4.69762910557816		1.00569581985474	2.81779617997777	4.72438587558738	0.596436500781689	0.0105218759179568	97.6063615732852
416	2.66328155999607		4.46723503423314		1.00317752361298	2.66041911680454	4.48142970011674	0.593654100327678	0.0108529536500164	97.5319812167161
414	2.54056655885881		4.29060645420975		1	2.53770411566728	4.29060637553734	0.591455820821938	0.0111444335755077	97.4665438743145
412	2.45439753576563		4.17068928672016		0.996665716171265	2.45153509257409	4.15678294646668	0.589767405261785	0.01140992243987	97.406979740963
410	2.3743210126481		4.0568361621751		0.993634045124054	2.37145856945656	4.031010448056	0.588303751631362	0.0117062214122409	97.3405461435337
408	2.31019816785224		3.9652365075932		0.991304457187653	2.3073357246607	3.93075654579203	0.58699532717964	0.012042281340347	97.2652525234546
406	2.26920311430511		3.90780001205447		0.989896655082703	2.26634067111357	3.86831808278731	0.585872366907471	0.0123385570829232	97.1989207859838
404	2.25526148675665		3.89323568105798		0.989499270915985	2.25239904356511	3.85235379006468	0.584681253672524	0.0126897290175047	97.1203571892788
402	2.28050280989798		3.94193311087642		0.990296423435211	2.27764036670644	3.90368218321275	0.583459477439307	0.0130609139529755	97.0373853490285
400	2.33508821007049		4.03737506036484		0.992328882217407	2.33222576687895	4.00640380267538	0.582124489129516	0.0134741629536619	96.9450942157967
398	2.39070700704877		4.1302518471031		0.995916664600372	2.38784456385723	4.11338656517528	0.580505752625631	0.0139168906195879	96.8463169859413
396	2.42475893887885		4.18251874956352		1.00104904174805	2.42189649568732	4.18690630758886	0.578445352669481	0.0143233786340582	96.7557138322762
394	2.43833039390275		4.19688682567798		1.00751101970673	2.43546795071121	4.22840964606923	0.575977295145764	0.0147585071870808	96.6588208448286
392	2.44737513833275		4.2013499295013		1.01508748531342	2.44451269514122	4.26473765499979	0.573191809881993	0.0152256355093561	96.5549102483262
390	2.46278146802379		4.21636010847778		1.02326428890228	2.45991902483226	4.3144506476548	0.570158109507962	0.0156911945764435	96.4514598698923
388	2.49162315573407		4.2536142424435		1.03213286399841	2.48876071254253	4.39029496919727	0.566877790673273	0.0162382550645182	96.3300409567084
386	2.52303049773097		4.29695663810365		1.0414787530899	2.52016805453943	4.47518895959793	0.563142266682267	0.0168079468228712	96.2037615433944
384	2.5592291222608		4.3489430376355		1.05112040042877	2.55636667906927	4.57126266446717	0.559225506541143	0.0173863242566661	96.0757261838856
382	2.59161340924078		4.39571759636787		1.06085693836212	2.58875096604924	4.66322742772715	0.555141477907929	0.0178909367273411	95.9641593620064
380	2.61018696710927		4.42081735863737		1.07036590576172	2.60732452391774	4.73189209207675	0.551010985285047	0.0184978494191334	95.8301461703268
378	2.61639764254018		4.42723137228361		1.07964384555817	2.61353519934865	4.77983301900986	0.546783786997237	0.0190907318938673	95.699411720129
376	2.62093601329028		4.43223404153446		1.08844602108002	2.61807357009874	4.82424742137291	0.542690567341108	0.019745615373477	95.5552129384569
