Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
450	3.19577676131885	0.00285737206366338	5.25452533544926	7.01656338749054E-8	1.0119651556015	3.19291938925518	5.31739647769477	0.600466676248185	0.00752406633301278	98.2824408492957
448	2.89674783510485		4.78762149779669		1.00756251811981	2.89389046304119	4.82382790142832	0.599915776884229	0.00773945195707655	98.2337103740468
446	2.63140378343074		4.3719119730906		1.00348556041718	2.62854641136708	4.38715046600118	0.599146628714324	0.00801576751680979	98.171230027793
444	2.4604766633455		4.1056549380217		1.00001692771912	2.45761929128184	4.10572436722845	0.598583604612709	0.00833000332507144	98.1002234657637
442	2.41675255056449		4.04154563977526		0.997353196144104	2.41389517850082	4.0308483912122	0.598855363492073	0.00856456173223672	98.0472547534506
440	2.41925467457793		4.04859508636167		0.99558562040329	2.41639730251426	4.0307229809612	0.599494759110939	0.00879755782397573	97.9946671631964
438	2.44755412596224		4.09436820141315		0.994712889194489	2.44469675389858	4.07272075325905	0.600261324556145	0.00912472281933858	97.9208731058652
436	2.48439249332807		4.14998386688102		0.994661867618561	2.4815351212644	4.12783063382769	0.601171739200768	0.00939225278948526	97.8605713929396
434	2.54625680948712		4.24434828056646		0.995339572429657	2.54339943742345	4.22456773298294	0.602049629259365	0.00969138829803435	97.7931897113246
432	2.63379674728837		4.37931467813914		0.996668756008148	2.6309393752247	4.36472604249727	0.60277308348989	0.00998719932069732	97.7266025108626
430	2.74445887249723		4.55101414685411		0.99854189157486	2.74160150043356	4.54437820472032	0.603295187356064	0.0102833595630216	97.6599821202981
428	2.83845989100182		4.69672863194894		1.00089848041534	2.83560251893816	4.70094848041226	0.603197956913045	0.0106248761674793	97.583215325902
426	2.89765035300489		4.79019173216142		1.00344467163086	2.89479298094123	4.80669229932024	0.602242207463667	0.0110722749475251	97.4827394206114
424	2.91371589005007		4.82062367051638		1.00566327571869	2.91085851798641	4.84792412093556	0.600434009562153	0.0114920445643637	97.3885624867858
422	3.04325060632935		5.05290464452313		1.00706160068512	3.04039323426569	5.08858616876162	0.597492728516694	0.0119598123698034	97.283724153244
420	2.94659868614264		4.91587020822173		1.00703954696655	2.94374131407898	4.95047563677442	0.594638077240802	0.0124066270851091	97.1836873152829
418	2.80197920267103		4.7039880703965		1.00569581985474	2.79912183060737	4.73078106847902	0.59168280884055	0.0128328032188364	97.088367077704
416	2.64231461183766		4.46961019210126		1.00317752361298	2.639457239774	4.48381241363887	0.588663618429998	0.0133370987208282	96.9756951157703
414	2.51697998831504		4.28882179764136		1	2.51412261625138	4.28882172747572	0.586203571984587	0.0138061886309262	96.8710063311977
412	2.42488946622208		4.16006664516105		0.996665716171265	2.42203209415841	4.14619573228794	0.58415768346322	0.0142964229313596	96.7617194328696
410	2.34398784382399		4.04676174001483		0.993634045124054	2.34113047176033	4.02100016766523	0.582225907520837	0.0148922018525026	96.6290696498186
408	2.2793363873766		3.95599834356761		0.991304457187653	2.27647901531293	3.92159872105004	0.580497694242258	0.0154671099761372	96.5012391432642
406	2.23470538820597		3.89438183014194		0.989896655082703	2.23184801614231	3.85503547781564	0.578943573667689	0.0160465715767404	96.3725672942432
404	2.2178172014245		3.8771957283226		0.989499270915985	2.21495982936083	3.83648227694494	0.577341342789846	0.0166514901504125	96.2384256540135
402	2.24019938720746		3.92420080951498		0.990296423435211	2.2373420151438	3.88612195701947	0.57572614547068	0.0172646136787382	96.1026550796815
400	2.29272586648976		4.01897912782116		0.992328882217407	2.2898684944261	3.98814899593848	0.574168241145979	0.0178278862563486	95.9780923612242
398	2.34853096717823		4.11509212060117		0.995916664600372	2.34567359511457	4.09828874939327	0.572354399250622	0.01840855980627	95.849850579842
396	2.38155292179889		4.1690576509845		1.00104904174805	2.37869554973522	4.17343109627115	0.569961620274628	0.0190657259511307	95.7049220892552
394	2.39574505715885		4.1889826590429		1.00751101970673	2.39288768509518	4.22044611965346	0.566975058383559	0.0199237682728032	95.5160230619878
392	2.40201756852701		4.19139532667649		1.01508748531342	2.39916019646335	4.25463287088618	0.563893588300049	0.0206410305071634	95.3584030691552
390	2.417359479273		4.20773600206692		1.02326428890228	2.41450210720934	4.30562591624556	0.560778422040609	0.0212145454497947	95.2325590239732
