Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
450	3.02247012952437	0.00283941269216837	4.94032448546777	7.61575695809433E-8	1.0119651556015	3.0196307168322	4.99943615958949	0.603994254640136	0.00485223430565457	98.8889500238197
448	2.75814938676544		4.53070660787275		1.00756251811981	2.75530997407327	4.56497008195683	0.603576786836722	0.00493882280923476	98.8692357676696
446	2.51019355279528		4.14284096977415		1.00348556041718	2.50735414010311	4.15728101585003	0.603123563344309	0.00506297097682376	98.8409768771366
444	2.35114232621728		3.89476976471071		1.00001692771912	2.34830291352511	3.89483561812045	0.602927348871875	0.00521388866019467	98.8066355249778
442	2.31295216686467		3.83800268485941		0.997353196144104	2.3101127541725	3.82784416859819	0.603502298532309	0.00534287013827663	98.7772952175285
440	2.32421513882487		3.85729952885782		0.99558562040329	2.32137572613271	3.84027186869785	0.604482131865271	0.00552106862647849	98.7367735100021
438	2.3583817597821		3.90943608301148		0.994712889194489	2.35554234708993	3.88876638549861	0.605729970273827	0.0056746770912476	98.7018568280732
436	2.39811659035249		3.96722690146545		0.994661867618561	2.39527717766033	3.94604924332719	0.607006408171607	0.0058491990747803	98.662201285726
434	2.45400157710836		4.04853444508588		0.995339572429657	2.45116216441619	4.02966646773587	0.608279167529567	0.0060206342179065	98.6232626591509
432	2.52924749640404		4.15997403773954		0.996668756008148	2.52640808371187	4.1461160733162	0.609343308059191	0.00615421997850828	98.5929315402959
430	2.62481764250654		4.30385713612295		0.99854189157486	2.62197822981437	4.29758156972564	0.610105518016208	0.00632285922609388	98.5546547240127
428	2.71010660212668		4.43238701353906		1.00089848041534	2.70726718943451	4.43636935023795	0.610243867384329	0.00644607663761749	98.5266969040816
426	2.7569826305852		4.50340661774746		1.00344467163086	2.75414321789304	4.51891929834593	0.6094694408243	0.00663014634938705	98.4849465740653
424	2.75976108597775		4.51047832995879		1.00566327571869	2.75692167328558	4.53602233577565	0.607783972213213	0.00678340685134983	98.4501978263499
422	2.88314973294565		4.72841550682233		1.00706160068512	2.88031032025348	4.76180561230947	0.604877761664137	0.00693554586913979	98.41571547897
420	2.79274595726522		4.60167530550584		1.00703954696655	2.78990654457305	4.63406893825009	0.602042520676563	0.00713369071425477	98.3708240063225
418	2.65866176020985		4.40721467640006		1.00569581985474	2.65582234751768	4.43231730066663	0.59919499606182	0.00732349395003508	98.327841601333
416	2.50776489069561		4.18684801712435		1.00317752361298	2.50492547800344	4.20015174916314	0.59638928010221	0.00752475851755687	98.2822842055087
414	2.3937713722709		4.02351586771189		1	2.39093195957873	4.02351579155432	0.594239486917757	0.00775764339392159	98.2295957122522
412	2.3084668950727		3.90441995998465		0.996665716171265	2.30562748238053	3.89140143974784	0.592492837883601	0.00796164548265675	98.1834649466517
410	2.24122203694296		3.81093041608738		0.993634045124054	2.23838262425079	3.78667012935044	0.591121631351278	0.00819944790440061	98.1297182941224
408	2.1813493809322		3.72511191057092		0.991304457187653	2.17850996824003	3.69271996497642	0.589947244552008	0.008441434988932	98.0750560521815
406	2.13927195108731		3.66485017090286		0.989896655082703	2.13643253839514	3.62782285016789	0.588902111991569	0.00870734609083188	98.0150247485372
404	2.12165996059779		3.642686961356		0.989499270915985	2.11882054790562	3.60443601707907	0.587836914808839	0.00899547875957241	97.9500182482244
402	2.13872599568584		3.67591618485603		0.990296423435211	2.13588658299368	3.64024657529197	0.586742282100043	0.0093006681883507	97.8812105372346
400	2.19020953226398		3.76395230266832		0.992328882217407	2.18737011957181	3.73507850565314	0.585628954320819	0.00956871626039606	97.8208165516129
398	2.25301523025521		3.8671705900163		0.995916664600372	2.25017581756304	3.85137955960309	0.584251897986116	0.00983915826263644	97.7599209534125
396	2.29730614967458		3.93547710992565		1.00104904174805	2.29446673698242	3.93960551347498	0.582410276646849	0.0100883943266112	97.7038338770201
394	2.31037024792967		3.94804461313064		1.00751101970673	2.30753083523751	3.97769837729331	0.58011709696493	0.0103947404211304	97.6349390715215
392	2.31628049204668		3.94632586150991		1.01508748531342	2.31344107935451	4.00586591768079	0.577513358383669	0.0107285777352279	97.5599170231293
390	2.32479700893974		3.94869074431296		1.02326428890228	2.32195759624757	4.0405541486451	0.5746631553066	0.0110689550712112	97.4834846105415
