Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
450	247.649	6.98738062743022
450	249.877	4.59170504848395
450	252.107	-6.17280368221854
450	254.337	5.91694472014301
450	256.568	2.46752099951106
450	258.801	-2.95873612732766
450	261.034	1.39256237002729
450	263.268	2.14554318293798
450	265.503	2.17676994983431
450	267.739	0.493359351490414
450	269.976	2.23807011263854
450	272.214	6.20265554704078
450	274.453	-8.8090422036835E-5
450	276.693	3.96685479463705
450	278.933	4.17563540798103
450	281.175	0.727876295237902
450	283.417	-2.14980385303978
450	285.66	3.04559912178671
450	287.905	-2.51565341177532
450	290.15	-1.34955392338203
450	292.396	0.439019222605209
450	294.643	7.96168666586281
450	296.891	3.8194344722301
450	299.139	8.78603033713969
450	301.389	4.75410259792979
450	303.639	-3.88231736269752
450	305.891	-1.83090467200214
450	308.143	8.68351164420917
450	310.396	-0.802241441331175
450	312.65	7.5558691815798
450	314.905	17.3413755716468
450	317.161	1.95906547388628
450	319.417	2.52912282834549
450	321.675	-2.94938980897123
450	323.933	7.13337935913373
450	326.192	-0.794882389663637
450	328.453	-6.38352742104637
450	330.713	-2.79193678905802
450	332.975	-1.99596452468252
450	335.238	0.996443649352306
450	337.501	-0.991496739483887
450	339.766	0.197457153463799
450	342.031	5.12431882645973
450	344.297	-2.35474353940698
450	346.564	6.09875469327711
450	348.832	11.8408624163987
450	351.1	-1.78498467348617
450	353.369	-1.79400386220128
450	355.64	4.80451390571149
450	357.911	16.4838306377199
450	360.182	8.45577400813677
450	362.455	1.81001884120426
450	364.729	-2.60663404225755
450	367.003	0.397822858210271
450	369.278	11.2865381375847
450	371.554	6.877787176333
450	373.831	3.52256459268397
450	376.108	3.46935173020149
450	378.387	11.0160086719598
450	380.666	10.5126833711571
450	382.946	2.62438847846263
450	385.226	11.8715938328207
450	387.508	17.4428848526481
450	389.79	14.4385198400639
450	392.073	11.6559433669574
450	394.357	12.7901675532115
450	396.642	14.1653488988286
450	398.927	11.6767265374591
450	401.214	20.254782118987
